year_end,calc_type,help_category,n,p,se,p_upper,p_lower
2013,From tax return sample,Debt reduced,5885,0.023140320386288032,0.0038411516646299033,0.026981472050917936,0.019299168721658128
2013,From tax return sample,Indexation and repayment balanced,2086,0.008202329367170236,0.0038704093940161097,0.012072738761186346,0.004331919973154127
2013,From tax return sample,No debt,228375,0.8979899181339898,0.0012412718636140047,0.8992311899976038,0.8967486462703758
2013,From tax return sample,No repayment,17972,0.070667432112552,0.003746544899297121,0.07441397701184913,0.06692088721325487
2014,From tax return sample,Debt reduced,5376,0.02077488464838044,0.003812544007128781,0.02458742865550922,0.01696234064125166
2014,From tax return sample,Indexation and repayment balanced,2655,0.010259917920656635,0.003832958990321856,0.014092876910978491,0.006426958930334779
2014,From tax return sample,No debt,229978,0.8887214326014206,0.0012852255669516211,0.8900066581683722,0.8874362070344689
2014,From tax return sample,No repayment,20765,0.08024376482954237,0.0036949618927874174,0.0839387267223298,0.07654880293675495
2015,From tax return sample,Debt reduced,6264,0.023786829903660302,0.0037735373513814847,0.027560367255041785,0.02001329255227882
2015,From tax return sample,Indexation and repayment balanced,2246,0.00852893039010553,0.00380291260569099,0.01233184299579652,0.00472601778441454
2015,From tax return sample,No debt,230905,0.8768355617663923,0.0013403523713977302,0.8781759141377901,0.8754952093949946
2015,From tax return sample,No repayment,23924,0.0908486779398418,0.0036416181857095537,0.09449029612555136,0.08720705975413225
2016,From tax return sample,Debt reduced,7591,0.0281524556907569,0.003720845436120007,0.031873301126876905,0.024431610254636894
2016,From tax return sample,Indexation and repayment balanced,1930,0.007157718282592652,0.0037608212403383505,0.010918539522931002,0.0033968970422543015
2016,From tax return sample,No debt,233865,0.8673263140717774,0.0013747855426598855,0.8687010996144373,0.8659515285291175
2016,From tax return sample,No repayment,26253,0.097363511954873,0.003585906832327886,0.10094941878720089,0.09377760512254511
2017,From tax return sample,Debt reduced,8698,0.031377839986724484,0.003663641193342091,0.03504148118006657,0.027714198793382393
2017,From tax return sample,Indexation and repayment balanced,2052,0.007402543993189082,0.0037087051906221045,0.011111249183811187,0.003693838802566978
2017,From tax return sample,No debt,237257,0.8558993080858003,0.0014130865616061917,0.8573123946474065,0.8544862215241941
2017,From tax return sample,No repayment,29195,0.10532030793428619,0.003521028359446904,0.10884133629373309,0.1017992795748393
2018,From tax return sample,Debt reduced,9769,0.03428621567079056,0.003608218672566766,0.03789443434335732,0.03067799699822379
2018,From tax return sample,Indexation and repayment balanced,2417,0.00848293410546635,0.0036561056017027286,0.01213903970716908,0.004826828503763621
2018,From tax return sample,No debt,241126,0.8462788453101694,0.0014395788367326905,0.8477184241469021,0.8448392664734367
2018,From tax return sample,No repayment,31613,0.11095200491357375,0.003462033276204433,0.11441403818977819,0.10748997163736931
2019,From tax return sample,Debt reduced,9106,0.031127367197648186,0.003566766087747885,0.03469413328539607,0.0275606011099003
2019,From tax return sample,Indexation and repayment balanced,4800,0.01640801257947631,0.003593757558762893,0.020001770138239203,0.012814255020713417
2019,From tax return sample,No debt,248428,0.8492103643946127,0.001407106697662015,0.8506174710922747,0.8478032576969508
2019,From tax return sample,No repayment,30206,0.1032542558282628,0.0034314363418707972,0.10668569217013359,0.099822819486392
2020,From tax return sample,Debt grew despite payment,1551,0.0051844819863485336,0.003573978820254128,0.008758460806602662,0.0016105031660944057
2020,From tax return sample,Debt reduced,11320,0.03783903035813372,0.0035148319600061665,0.04135386231813989,0.03432419839812755
2020,From tax return sample,Indexation and repayment balanced,7523,0.025146910369632507,0.0035379385476778627,0.02868484891731037,0.021608971821954644
2020,From tax return sample,No debt,253857,0.8485603118043067,0.00139444231224614,0.8499547541165529,0.8471658694920605
2020,From tax return sample,No repayment,24911,0.08326926548157854,0.0034308489267514675,0.08670011440833,0.07983841655482707
2021,From tax return sample,Debt reduced,15710,0.0520738381169888,0.0034741044339436614,0.05554794255093246,0.048599733683045133
2021,From tax return sample,Indexation and repayment balanced,6716,0.02226148292767007,0.0035283119596057765,0.025789794887275844,0.018733170968064292
2021,From tax return sample,No debt,255272,0.8461484916486292,0.0013996082504746643,0.8475480998991038,0.8447488833981545
2021,From tax return sample,No repayment,23989,0.07951618730671192,0.003423447660236304,0.08293963496694823,0.07609273964647562
2022*,Projected from 2020-21 returns,Debt grew despite payment,6589,0.0218405168270426,0.003529071436634482,0.02536958826367708,0.018311445390408118
2022*,Projected from 2020-21 returns,Debt reduced,6866,0.022758686983529286,0.003527414728869868,0.026286101712399153,0.01923127225465942
2022*,Projected from 2020-21 returns,Indexation and repayment balanced,8732,0.028943905438417964,0.0035162340395266177,0.03246013947794458,0.025427671398891346
2022*,Projected from 2020-21 returns,No debt,255272,0.8461484916486292,0.0013996082504746643,0.8475480998991038,0.8447488833981545
2022*,Projected from 2020-21 returns,No repayment,24228,0.08030839910238094,0.0034219741528418806,0.08373037325522283,0.07688642494953905
2023*,Projected from 2020-21 returns,Debt grew despite payment,14458,0.047923841597417194,0.0034817008989698173,0.05140554249638701,0.044442140698447374
2023*,Projected from 2020-21 returns,Debt reduced,1267,0.0041997169251575305,0.0035607520862472736,0.007760469011404804,6.389648389102569e-4
2023*,Projected from 2020-21 returns,Indexation and repayment balanced,5620,0.018628578626192046,0.003534860814345361,0.022163439440537405,0.015093717811846685
2023*,Projected from 2020-21 returns,No debt,255272,0.8461484916486292,0.0013996082504746643,0.8475480998991038,0.8447488833981545
2023*,Projected from 2020-21 returns,No repayment,25070,0.08309937120260402,0.00341677790489302,0.08651614910749704,0.079682593297711
2023+,Projected with new policy,Debt grew despite payment,4730,0.015678501228094017,0.0035401698581987305,0.019218671086292747,0.012138331369895287
2023+,Projected with new policy,Debt reduced,8085,0.02679929861081187,0.003520114752785008,0.030319413363596878,0.02327918385802686
2023+,Projected with new policy,Indexation and repayment balanced,8530,0.028274337309860884,0.003517446097486416,0.0317917834073473,0.02475689121237447
2023+,Projected with new policy,No debt,255272,0.8461484916486292,0.0013996082504746643,0.8475480998991038,0.8447488833981545
2023+,Projected with new policy,No repayment,25070,0.08309937120260402,0.00341677790489302,0.08651614910749704,0.079682593297711
2024*,Projected from 2020-21 returns,Debt grew despite payment,8626,0.028592547905610784,0.003516870122028821,0.03210941802763961,0.02507567778358196
2024*,Projected from 2020-21 returns,Debt reduced,3416,0.011322993698767266,0.0035479936317553704,0.014870987330522636,0.007775000067011896
2024*,Projected from 2020-21 returns,Indexation and repayment balanced,7427,0.024618230152442765,0.003524057061103377,0.02814228721354614,0.021094173091339388
2024*,Projected from 2020-21 returns,No debt,255272,0.8461484916486292,0.0013996082504746643,0.8475480998991038,0.8447488833981545
2024*,Projected from 2020-21 returns,No repayment,26946,0.08931773659454999,0.003405172001772126,0.09272290859632211,0.08591256459277787
2024+,Projected with new policy,Debt grew despite payment,7311,0.0242337256825783,0.0035247516005239075,0.02775847728310221,0.020708974082054393
2024+,Projected with new policy,Debt reduced,4378,0.014511729043677719,0.003542267419005041,0.01805399646268276,0.010969461624672678
2024+,Projected with new policy,Indexation and repayment balanced,7780,0.025788317030564792,0.0035219426632141187,0.02931025969377891,0.022266374367350673
2024+,Projected with new policy,No debt,255272,0.8461484916486292,0.0013996082504746643,0.8475480998991038,0.8447488833981545
2024+,Projected with new policy,No repayment,26946,0.08931773659454999,0.003405172001772126,0.09272290859632211,0.08591256459277787
